"sales1_name","chan1_name","dma1_name","dma2_name"
"Total Sales","Display","Low Stores Low Loyalty","TALLHSSE/THMSVL-FL"
"Total Sales","Display","Low Stores Low Loyalty","TYLER/LONGVIEW-TX"
"Total Sales","Display","Low Stores Low Loyalty","VICTORIA-TX"
"Total Sales","Display","Low Stores Low Loyalty","YAKIMA-WA"
"Total Sales","Display","Low Stores Low Loyalty","YUMA-AZ"
"Total Sales","Display","Low Stores Medium Loyalty","ALBANY-NY"
"Total Sales","Display","Low Stores Medium Loyalty","BANGOR-ME"
"Total Sales","Display","Low Stores Medium Loyalty","BLUEFIELD-WV"
"Total Sales","Display","Low Stores Medium Loyalty","BRLGTN-PLATTSBG-VT"
"Total Sales","Display","Low Stores Medium Loyalty","CHRLSTN/HNTNGTN-WV"
"Total Sales","Display","Low Stores Medium Loyalty","CLARKSBURG-WV"
"Total Sales","Display","Low Stores Medium Loyalty","DAVENPORT-IA"
"Total Sales","Display","Low Stores Medium Loyalty","ELMIRA-NY"
"Total Sales","Display","Low Stores Medium Loyalty","EVANSVILLE-IN"
"Total Sales","Display","Low Stores Medium Loyalty","FLNT/SGNW-BYCT-MI"
"Total Sales","Display","Low Stores Medium Loyalty","FORT MYRS/NAPLS-FL"
"Total Sales","Display","Low Stores Medium Loyalty","GREENSBORO-NC"
"Total Sales","Display","Low Stores Medium Loyalty","GREENVILLE-SC"
"Total Sales","Display","Low Stores Medium Loyalty","HARRISONBURG-VA"
"Total Sales","Display","Low Stores Medium Loyalty","HUNTSVILLE-AL"
"Total Sales","Display","Low Stores Medium Loyalty","JOHNSTOWN/ALTNA-PA"
"Total Sales","Display","Low Stores Medium Loyalty","KNOXVILLE-TN"
"Total Sales","Display","Low Stores Medium Loyalty","LIMA-OH"
"Total Sales","Display","Low Stores Medium Loyalty","MARQUETTE-MI"
"Total Sales","Display","Low Stores Medium Loyalty","MDFRD/KLMATH FA-OR"
"Total Sales","Display","Low Stores Medium Loyalty","PADUCAH-KY"
"Total Sales","Display","Low Stores Medium Loyalty","PANAMA CITY-FL"
"Total Sales","Display","Low Stores Medium Loyalty","PARKERSBURG-WV"
"Total Sales","Display","Low Stores Medium Loyalty","PORTLAND-ME"
"Total Sales","Display","Low Stores Medium Loyalty","QUINCY-IL"
"Total Sales","Display","Low Stores Medium Loyalty","ROANOKE/LYCHBRG-VA"
"Total Sales","Display","Low Stores Medium Loyalty","ROCHESTER-NY"
"Total Sales","Display","Low Stores Medium Loyalty","SALISBURY-MD"
"Total Sales","Display","Low Stores Medium Loyalty","SOUTH BEND-IN"
"Total Sales","Display","Low Stores Medium Loyalty","SPRINGFIELD-MA"
"Total Sales","Display","Low Stores Medium Loyalty","SYRACUSE-NY"
"Total Sales","Display","Low Stores Medium Loyalty","TERRE HAUTE-IN"
"Total Sales","Display","Low Stores Medium Loyalty","TRAVERSE CITY-MI"
"Total Sales","Display","Low Stores Medium Loyalty","TRI CITIES-TN"
"Total Sales","Display","Low Stores Medium Loyalty","WAUSAU-WI"
"Total Sales","Display","Low Stores Medium Loyalty","WEST PALM BEACH-FL"
"Total Sales","Display","Low Stores Medium Loyalty","WHEELING-WV"
"Total Sales","Display","Low Stores Medium Loyalty","WILKES-BARRE-PA"
"Total Sales","Display","Low Stores Medium Loyalty","ZANESVILLE-OH"
"Total Sales","Display","Medium Stores High Loyalty","ALBQ/SANTA FE-NM"
